,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
836,FB,2015-09-16,0.0456373094918,0.0454228896023,0.0461229877013,0.0459136204731,16321200,0.0459136204731,0.549995,91.9956,2.554004,1978.02002,1997.26001,1977.930054,1995.310059,3630680000.0,1995.310059
837,FB,2015-09-17,0.0458681984115,0.046349790272,0.0462574305135,0.0463508925718,27841800,0.0463508925718,0.889999,92.1694,2.999003,1995.329956,2020.859985,1986.72998,1990.199951,4183790000.0,1990.199951
838,FB,2015-09-18,0.0457846826281,0.0461944983384,0.0463321200795,0.0463803745707,62300000,0.0463803745707,0.060006,92.3398,2.434009,1989.660034,1989.660034,1953.449951,1958.030029,6021240000.0,1958.030029
839,FB,2015-09-21,0.0464822633806,0.0468253698775,0.0470640699595,0.0469453902064,28790000,0.0469453902064,1.150001,92.4918,2.85501,1960.839966,1979.640015,1955.800049,1966.969971,3269350000.0,1966.969971
840,FB,2015-09-22,0.0460646962541,0.0459470008487,0.0457694599435,0.0456728758725,36888900,0.0456728758725,-2.590004,92.549,0.077994,1961.390015,1961.390015,1929.219971,1942.73999,3808260000.0,1942.73999
841,FB,2015-09-23,0.0458829354795,0.0457722974234,0.0462076382994,0.0461691075472,21701400,0.0461691075472,1.010002,92.6348,0.579008,1943.23999,1949.52002,1932.569946,1938.76001,3190530000.0,1938.76001
842,FB,2015-09-24,0.0457159078429,0.0459906752492,0.0459287966221,0.0463852887285,29106000,0.0463852887285,0.440003,92.7278,0.776011,1934.810059,1937.170044,1908.920044,1932.23999,4091530000.0,1932.23999
843,FB,2015-09-25,0.0470570272093,0.0465147860103,0.0458391697404,0.0455795245617,28961600,0.0455795245617,-1.640007,92.7662,0.935995,1935.930054,1952.890015,1921.5,1931.339966,3721870000.0,1931.339966
844,FB,2015-09-28,0.045234482872,0.044787164705,0.0439072135077,0.0438304351844,41199900,0.0438304351844,-3.559998,92.651,4.185993,1929.180054,1929.180054,1879.209961,1881.77002,4326660000.0,1881.77002
845,FB,2015-09-29,0.0437705500205,0.043704972587,0.0426823132886,0.0425824882004,42281800,0.0425824882004,-2.540001,92.4262,6.102994,1881.900024,1899.47998,1871.910034,1884.089966,4132390000.0,1884.089966
846,FB,2015-09-30,0.0434463256818,0.04368556061,0.043822566893,0.044169445745,36169100,0.044169445745,3.230004,92.2564,2.51799,1887.140015,1920.530029,1887.140015,1920.030029,4525070000.0,1920.030029
847,FB,2015-10-01,0.0442372418533,0.044136877792,0.0439968408874,0.0446853266811,29283700,0.0446853266811,1.049995,92.1346,1.128995,1919.650024,1927.209961,1900.699951,1923.819946,3983600000.0,1923.819946
848,FB,2015-10-02,0.0436723015904,0.0447434869076,0.0440018211544,0.0452356037739,37881700,0.0452356037739,1.120003,92.0672,0.224008,1921.77002,1951.359985,1893.699951,1951.359985,4378570000.0,1951.359985
849,FB,2015-10-05,0.0456569595708,0.0457480316029,0.0461379290004,0.0461887607391,27292500,0.0461887607391,1.940002,92.0084,2.31801,1954.329956,1989.170044,1954.329956,1987.050049,4334490000.0,1987.050049
850,FB,2015-10-06,0.0462169868227,0.045699503359,0.0459785883383,0.0455942670351,22488300,0.0455942670351,-1.209999,91.981,1.124011,1986.630005,1991.619995,1971.98999,1979.920044,4202400000.0,1979.920044
851,FB,2015-10-07,0.0457404719154,0.0454520097516,0.0454956025167,0.0453977395371,24129300,0.0453977395371,-0.400001,91.9232,0.88101,1982.339966,1999.310059,1976.439941,1995.829956,4666470000.0,1995.829956
852,FB,2015-10-08,0.045141143523,0.045238481887,0.0450474671121,0.0454321312719,27290500,0.0454321312719,0.069999,91.8328,1.145009,1994.01001,2016.5,1987.530029,2013.430054,3939140000.0,2013.430054
853,FB,2015-10-09,0.0456373094918,0.0454908298232,0.0459287966221,0.0458104442859,20012900,0.0458104442859,0.769997,91.7934,1.868006,2013.72998,2020.130005,2007.609985,2014.890015,3706900000.0,2014.890015
854,FB,2015-10-12,0.0458436343389,0.0459081768947,0.046142905284,0.0463115901183,18449600,0.0463115901183,1.020004,91.7984,2.38301,2015.650024,2018.660034,2010.550049,2017.459961,2893250000.0,2017.459961
855,FB,2015-10-13,0.0460106619756,0.0462818505364,0.0465810836399,0.0462428061573,19480300,0.0462428061573,-0.139999,91.798,1.49801,2015.0,2022.339966,2001.780029,2003.689941,3401920000.0,2003.689941
856,FB,2015-10-14,0.0462169868227,0.0461993487849,0.0466109582713,0.0462182388075,19253400,0.0462182388075,-0.050003,91.7982,1.031007,2003.660034,2009.560059,1990.72998,1994.23999,3644590000.0,1994.23999
857,FB,2015-10-15,0.0466640241553,0.0467331677183,0.047253284755,0.047146828423,27557500,0.047146828423,1.889999,91.7886,2.420006,1996.469971,2024.150024,1996.469971,2023.859985,3746290000.0,2023.859985
858,FB,2015-10-16,0.0472486149884,0.0473591849286,0.0474773499676,0.0479231110822,25412900,0.0479231110822,1.580002,91.837,3.453008,2024.369995,2033.540039,2020.459961,2033.109985,3595430000.0,2033.109985
859,FB,2015-10-19,0.0477398669638,0.0478347684163,0.0482590955472,0.0483800363729,23729900,0.0483800363729,0.93,91.9204,3.937008,2031.72998,2034.449951,2022.310059,2033.660034,3287320000.0,2033.660034
860,FB,2015-10-20,0.0485013089993,0.0483297595135,0.0480798417837,0.0476577991318,30881800,0.0476577991318,-1.470001,91.9774,2.047007,2033.130005,2039.119995,2026.609985,2030.77002,3331500000.0,2030.77002
861,FB,2015-10-21,0.0478332063128,0.0476455063723,0.0480350298366,0.04771184455,21917800,0.04771184455,0.110001,92.0472,1.686008,2033.469971,2037.969971,2017.219971,2018.939941,3627790000.0,2018.939941
862,FB,2015-10-22,0.04803953116,0.0483977031314,0.0485727921229,0.0489696159191,26392100,0.0489696159191,2.559997,92.1568,3.526005,2021.880005,2055.199951,2021.880005,2052.51001,4430850000.0,2052.51001
863,FB,2015-10-23,0.0500634907721,0.0499117970574,0.049872382406,0.0502077380268,42809700,0.0502077380268,2.520004,92.332,5.151009,2058.189941,2079.73999,2058.189941,2075.149902,4108460000.0,2075.149902
864,FB,2015-10-26,0.0502059504062,0.0503776728582,0.0505645006059,0.0509840172467,25961200,0.0509840172467,1.579995,92.519,5.780004,2075.080078,2075.139893,2066.530029,2071.179932,3385800000.0,2071.179932
865,FB,2015-10-27,0.0505694793242,0.050518406173,0.0509877381606,0.0509496250206,23795500,0.0509496250206,-0.07,92.7144,4.752005,2068.75,2070.370117,2058.840088,2065.889893,4216880000.0,2065.889893
866,FB,2015-10-28,0.0510410812206,0.0507028177705,0.0512466582717,0.051195283779,24081500,0.051195283779,0.5,92.895,4.239005,2066.47998,2090.350098,2063.110107,2090.350098,4698110000.0,2090.350098
867,FB,2015-10-29,0.0510705548653,0.0510134016377,0.0515454140462,0.0515293796904,20316700,0.0515293796904,0.68,93.0864,4.027005,2088.350098,2092.52002,2082.629883,2089.409912,4008940000.0,2089.409912
868,FB,2015-10-30,0.0513407449255,0.0508192857501,0.0506142928201,0.0500996476817,33487100,0.0500996476817,-2.909996,93.3146,0.674009,2090.0,2094.320068,2079.340088,2079.360107,4256200000.0,2079.360107
869,FB,2015-11-02,0.0499701514231,0.0502126766346,0.0503802660775,0.0507580116803,24003900,0.0507580116803,1.339997,93.6596,1.530006,2080.76001,2106.199951,2080.76001,2104.050049,3760020000.0,2104.050049
870,FB,2015-11-03,0.0507070293861,0.0503000288325,0.0509877381606,0.0503993518583,21242300,0.0503993518583,-0.729996,94.0694,0.24201,2102.629883,2116.47998,2097.51001,2109.790039,4272060000.0,2109.790039
871,FB,2015-11-04,0.0506922923181,0.0505378181499,0.0510275728282,0.0510675436812,43469300,0.0510675436812,1.36,94.4882,0.91901,2110.600098,2114.590088,2096.97998,2102.310059,4078870000.0,2102.310059
872,FB,2015-11-05,0.053448216391,0.0536970398796,0.0537512311911,0.0534356941123,63232900,0.0534356941123,4.82,94.9196,4.83001,2101.679932,2108.780029,2090.409912,2099.929932,4051890000.0,2099.929932
873,FB,2015-11-06,0.0530748639072,0.0527701392099,0.0527354633503,0.0526201050691,35084300,0.0526201050691,-1.660004,95.267,2.679006,2098.600098,2101.909912,2083.73999,2099.199951,4369020000.0,2099.199951
874,FB,2015-11-09,0.0525639613616,0.0525323494072,0.0527105655005,0.0523204013838,26383500,0.0523204013838,-0.61,95.5766,1.797006,2096.560059,2096.560059,2068.23999,2078.580078,3882350000.0,2078.580078
875,FB,2015-11-10,0.052053058816,0.0524838216485,0.0524018491918,0.0530180752056,25031700,0.0530180752056,1.420006,95.9462,2.796011,2077.189941,2083.669922,2069.909912,2081.719971,3821440000.0,2081.719971
876,FB,2015-11-11,0.0531878498966,0.0533185162768,0.0533329744014,0.0535585234915,25057100,0.0535585234915,1.099998,96.3818,3.415009,2083.409912,2086.939941,2074.850098,2075.0,3692410000.0,2075.0
877,FB,2015-11-12,0.0532910157589,0.0530855764353,0.053776129041,0.0530721166932,20924700,0.0530721166932,-0.990005,96.7444,2.111004,2072.290039,2072.290039,2045.660034,2045.969971,4016370000.0,2045.969971
878,FB,2015-11-13,0.0529127497729,0.0525323494072,0.0516997739433,0.0510724543998,30278400,0.0510724543998,-4.07,97.0604,2.156996,2044.640015,2044.640015,2022.02002,2023.040039,4278750000.0,2023.040039
879,FB,2015-11-16,0.0507561540924,0.0505523762834,0.0500267383196,0.0511166749416,49309200,0.0511166749416,0.090004,97.376,2.139992,2022.079956,2053.219971,2019.390015,2053.189941,3741240000.0,2053.189941
880,FB,2015-11-17,0.0513947831341,0.0515375090018,0.0518541298569,0.0516522090696,26807200,0.0516522090696,1.089996,97.688,1.304995,2053.669922,2066.689941,2045.900024,2050.439941,4427350000.0,2050.439941
881,FB,2015-11-18,0.051974460465,0.0523527916531,0.0524765387579,0.052949287314,23836500,0.052949287314,2.64,98.0346,0.952006,2051.98999,2085.310059,2051.98999,2083.580078,3926390000.0,2083.580078
882,FB,2015-11-19,0.052740812564,0.052280001471,0.0527553769496,0.0522074003202,25520600,0.0522074003202,-1.509995,98.3202,0.307989,2083.699951,2086.73999,2078.76001,2081.23999,3628110000.0,2081.23999
